,community,year,keep_row
825,NEW CITY,2012.0,1
826,NEW CITY,2013.0,1
827,NEW CITY,2014.0,2
828,NEW CITY,2015.0,1
829,NEW CITY,2016.0,2
830,NEW CITY,2017.0,3
831,NEW CITY,2018.0,5
832,NEW CITY,2019.0,5
833,NEW CITY,2020.0,7
834,NEW CITY,2021.0,7
835,NORTH CENTER,2001.0,1
836,NORTH CENTER,2002.0,15
837,NORTH CENTER,2003.0,20
838,NORTH CENTER,2004.0,21
839,NORTH CENTER,2005.0,18
840,NORTH CENTER,2006.0,21
841,NORTH CENTER,2007.0,20
842,NORTH CENTER,2008.0,16
843,NORTH CENTER,2009.0,14
844,NORTH CENTER,2010.0,17
845,NORTH CENTER,2011.0,10
846,NORTH CENTER,2012.0,11
847,NORTH CENTER,2013.0,10
848,NORTH CENTER,2014.0,9
849,NORTH CENTER,2015.0,14
850,NORTH CENTER,2016.0,15
851,NORTH CENTER,2017.0,14
852,NORTH CENTER,2018.0,12
853,NORTH CENTER,2019.0,18
854,NORTH CENTER,2020.0,8
855,NORTH CENTER,2021.0,9
856,NORTH LAWNDALE,2002.0,1
857,NORTH LAWNDALE,2003.0,1
858,NORTH LAWNDALE,2004.0,1
859,NORTH LAWNDALE,2005.0,1
860,NORTH LAWNDALE,2006.0,7
861,NORTH LAWNDALE,2007.0,5
862,NORTH LAWNDALE,2008.0,3
863,NORTH LAWNDALE,2010.0,7
864,NORTH LAWNDALE,2012.0,4
865,NORTH LAWNDALE,2013.0,3
866,NORTH LAWNDALE,2014.0,4
867,NORTH LAWNDALE,2015.0,2
868,NORTH LAWNDALE,2016.0,6
869,NORTH LAWNDALE,2017.0,3
870,NORTH LAWNDALE,2018.0,5
871,NORTH LAWNDALE,2019.0,8
872,NORTH LAWNDALE,2020.0,5
873,NORTH LAWNDALE,2021.0,8
874,NORTH PARK,2001.0,2
875,NORTH PARK,2002.0,11
876,NORTH PARK,2003.0,16
877,NORTH PARK,2004.0,15
878,NORTH PARK,2005.0,13
879,NORTH PARK,2006.0,19
880,NORTH PARK,2007.0,15
881,NORTH PARK,2008.0,7
882,NORTH PARK,2009.0,12
883,NORTH PARK,2010.0,5
884,NORTH PARK,2011.0,15
885,NORTH PARK,2012.0,8
886,NORTH PARK,2013.0,7
887,NORTH PARK,2014.0,7
888,NORTH PARK,2015.0,11
889,NORTH PARK,2016.0,3
890,NORTH PARK,2017.0,6
891,NORTH PARK,2018.0,4
892,NORTH PARK,2019.0,8
893,NORTH PARK,2021.0,7
894,NORWOOD PARK,2001.0,1
895,NORWOOD PARK,2002.0,6
896,NORWOOD PARK,2003.0,5
897,NORWOOD PARK,2004.0,4
898,NORWOOD PARK,2005.0,6
899,NORWOOD PARK,2006.0,7
900,NORWOOD PARK,2007.0,6
901,NORWOOD PARK,2008.0,6
902,NORWOOD PARK,2009.0,5
903,NORWOOD PARK,2010.0,3
904,NORWOOD PARK,2011.0,3
905,NORWOOD PARK,2012.0,3
906,NORWOOD PARK,2013.0,1
907,NORWOOD PARK,2015.0,1
908,NORWOOD PARK,2017.0,3
909,NORWOOD PARK,2018.0,1
910,NORWOOD PARK,2019.0,4
911,NORWOOD PARK,2020.0,1
912,NORWOOD PARK,2021.0,4
913,OHARE,2002.0,7
914,OHARE,2003.0,11
915,OHARE,2004.0,5
916,OHARE,2005.0,4
917,OHARE,2006.0,4
918,OHARE,2007.0,4
919,OHARE,2009.0,5
920,OHARE,2010.0,3
921,OHARE,2011.0,5
922,OHARE,2012.0,4
923,OHARE,2013.0,2
924,OHARE,2014.0,4
925,OHARE,2015.0,2
926,OHARE,2016.0,3
927,OHARE,2017.0,2
928,OHARE,2018.0,4
929,OHARE,2019.0,3
930,OHARE,2020.0,3
931,OHARE,2021.0,4
932,PORTAGE PARK,2001.0,2
933,PORTAGE PARK,2002.0,9
934,PORTAGE PARK,2003.0,10
935,PORTAGE PARK,2004.0,10
936,PORTAGE PARK,2005.0,16
937,PORTAGE PARK,2006.0,16
938,PORTAGE PARK,2007.0,20
939,PORTAGE PARK,2008.0,2
940,PORTAGE PARK,2009.0,12
941,PORTAGE PARK,2010.0,3
942,PORTAGE PARK,2011.0,16
943,PORTAGE PARK,2012.0,2
944,PORTAGE PARK,2013.0,13
945,PORTAGE PARK,2014.0,4
946,PORTAGE PARK,2015.0,13
947,PORTAGE PARK,2016.0,7
948,PORTAGE PARK,2017.0,15
